segment,best_treatment_cvr,mean_p_best_cvr,best_treatment_cvr_jp
0,Discount | Web,0.1894145127221937,割引 / Web
1,Discount | Web,0.16798545789585898,割引 / Web
2,Discount | Web,0.2235882625737133,割引 / Web
3,Discount | Web,0.2534427694742392,割引 / Web
4,Discount | Web,0.20934073431371195,割引 / Web
5,Discount | Web,0.17135542727901845,割引 / Web
6,Discount | Web,0.2090139006145705,割引 / Web
7,Discount | Web,0.18746574639628852,割引 / Web
8,Discount | Web,0.24568657695559687,割引 / Web
9,Discount | Web,0.1530055987938436,割引 / Web
